,imdbid,Scenes_count,Num_turns,Average_score,Variance_score,Complexity_score,sentences,words
0,2209418,20,1,0.7022000000000002,0.245239891,95.77,2556,32260
1,401729,179,31,-0.2757223463687151,0.459827847210137,98.41,2774,15922
2,401729,179,31,-0.2757223463687151,0.459827847210137,-81.48,2774,15922
3,401729,179,31,-0.2757223463687151,0.459827847210137,98.41,1460,4
4,401729,179,31,-0.2757223463687151,0.459827847210137,-81.48,1460,4
5,968264,121,20,-0.0802479338842975,0.5343230836527559,88.43,2892,24906
6,968264,121,20,-0.0802479338842975,0.5343230836527559,-81.48,2892,24906
7,968264,121,20,-0.0802479338842975,0.5343230836527559,88.43,1110,4
8,968264,121,20,-0.0802479338842975,0.5343230836527559,-81.48,1110,4
9,1007029,110,15,0.26418,0.4931445492363637,87.01,1651,17182
10,1007029,110,15,0.26418,0.4931445492363637,-81.48,1651,17182
11,1007029,110,15,0.26418,0.4931445492363637,87.01,635,4
12,1007029,110,15,0.26418,0.4931445492363637,-81.48,635,4
13,69768,17,3,-0.0854058823529411,0.6841082629065743,77.33,737,7644
14,377092,156,26,0.1816589743589743,0.4301446898553583,97.2,2981,25172
15,377092,156,26,0.1816589743589743,0.4301446898553583,-81.48,2981,25172
16,377092,156,26,0.1816589743589743,0.4301446898553583,97.2,1008,4
17,377092,156,26,0.1816589743589743,0.4301446898553583,-81.48,1008,4
18,287138,98,8,0.539880612244898,0.3144593158486047,89.04,2785,21878
19,287138,98,8,0.539880612244898,0.3144593158486047,-81.48,2785,21878
20,287138,98,8,0.539880612244898,0.3144593158486047,89.04,1168,4
21,287138,98,8,0.539880612244898,0.3144593158486047,-81.48,1168,4
22,59037,96,13,0.349434375,0.3126170012141926,96.38,2408,24428
23,59037,96,13,0.349434375,0.3126170012141926,-81.48,2408,24428
24,59037,96,13,0.349434375,0.3126170012141926,96.38,784,4
25,59037,96,13,0.349434375,0.3126170012141926,-81.48,784,4
26,822847,121,21,-0.2305264462809917,0.4496194930196024,89.34,2472,12878
27,822847,121,21,-0.2305264462809917,0.4496194930196024,-81.48,2472,12878
28,822847,121,21,-0.2305264462809917,0.4496194930196024,89.34,1405,4
29,822847,121,21,-0.2305264462809917,0.4496194930196024,-81.48,1405,4
30,1321860,115,19,0.3044069565217391,0.4570130938646503,87.11,2867,23632
31,1321860,115,19,0.3044069565217391,0.4570130938646503,-80.47,2867,23632
32,1321860,115,19,0.3044069565217391,0.4570130938646503,87.11,1363,4
33,1321860,115,19,0.3044069565217391,0.4570130938646503,-80.47,1363,4
34,130018,139,25,-0.0953381294964029,0.3682874721432638,89.85,2473,13454
35,120601,127,26,0.225359842519685,0.5090818990960382,89.24,2677,19096
36,110265,38,9,-0.180957894736842,0.5501891466481994,98.31,2260,15228
37,110265,38,9,-0.180957894736842,0.5501891466481994,-81.48,2260,15228
38,110265,38,9,-0.180957894736842,0.5501891466481994,98.31,889,4
39,110265,38,9,-0.180957894736842,0.5501891466481994,-81.48,889,4
40,7985692,165,15,0.3973151515151516,0.2974586529219468,97.7,2957,18458
41,51337,124,23,0.1748508064516128,0.4832235586283819,86.91,2101,13874
42,51337,124,23,0.1748508064516128,0.4832235586283819,-82.5,2101,13874
43,51337,124,23,0.1748508064516128,0.4832235586283819,86.91,1309,4
44,51337,124,23,0.1748508064516128,0.4832235586283819,-82.5,1309,4
45,3263904,166,32,0.0867530120481927,0.4114429679126143,89.34,2364,16352
46,3263904,166,32,0.0867530120481927,0.4114429679126143,-81.48,2364,16352
47,3263904,166,32,0.0867530120481927,0.4114429679126143,89.34,994,4
48,3263904,166,32,0.0867530120481927,0.4114429679126143,-81.48,994,4
49,1231277,117,18,-0.0678820512820513,0.4709091498487837,97.7,1956,13180
50,1231277,117,18,-0.0678820512820513,0.4709091498487837,-81.48,1956,13180
51,1231277,117,18,-0.0678820512820513,0.4709091498487837,97.7,928,4
52,1231277,117,18,-0.0678820512820513,0.4709091498487837,-81.48,928,4
53,95253,281,34,-0.0235362989323843,0.3611502235222451,96.89,3277,22048
54,95253,281,34,-0.0235362989323843,0.3611502235222451,-80.47,3277,22048
55,95253,281,34,-0.0235362989323843,0.3611502235222451,96.89,1453,4
56,95253,281,34,-0.0235362989323843,0.3611502235222451,-80.47,1453,4
57,410097,104,16,-0.0790326923076923,0.4493755160465976,98.01,2959,26176
58,105323,83,10,0.3700795180722891,0.3858303228335027,96.89,2996,27662
59,424136,62,14,0.1734209677419354,0.4100556339151925,93.44,2055,29768
60,102753,114,22,-0.1073175438596491,0.5631751656571253,95.57,2881,31902
61,1502397,187,23,-0.2920069518716577,0.3728332516629014,88.43,2703,18586
62,1068680,96,11,0.6183458333333333,0.3491122233159722,88.94,3024,24050
63,2848292,109,6,0.6116036697247706,0.2426808836562579,88.33,2524,24530
64,783233,117,23,0.1232290598290598,0.3880249294119366,96.59,1934,14138
65,110400,79,13,-0.3032746835443038,0.4296010355616087,97.8,2029,10884
66,796366,265,34,-0.1584603773584905,0.3508112791470274,78.96,2437,26394
67,101452,56,5,-0.5079017857142857,0.4247566026753827,89.34,2110,13974
68,55701,212,30,-0.0894518867924528,0.4027325216473833,80.68,3338,20866
69,416658,100,17,0.379223,0.419893204171,97.5,2746,18064
70,4513316,99,13,0.3892939393939393,0.455556613902663,87.21,2237,24892
71,120915,134,22,0.0459485074626865,0.5538313360798619,89.45,2901,23486
72,101761,126,26,0.0289357142857142,0.6361963435657598,95.67,3261,36464
73,5027774,121,24,-0.1259140495867768,0.4365196964141793,95.98,1783,18906
74,417217,123,14,0.2931991869918699,0.4380533717879568,96.79,3198,31858
75,185183,210,40,-0.0928414285714285,0.3953355765217686,85.99,1924,17492
76,468569,389,62,-0.0256560411311054,0.3278646753169751,88.33,3441,29242
77,302297,137,20,0.3085065693430657,0.4109665322926101,97.4,2908,20186
78,8151874,103,17,0.2217135922330097,0.4475216273880668,97.7,2092,14708
79,119217,95,19,0.1541821052631579,0.4711267959955678,96.18,2731,28078
80,7752126,57,12,-0.3156298245614036,0.638308586303478,98.01,2468,9612
81,1931533,155,24,-0.2997735483870968,0.4792820325261186,88.63,3930,22816
82,293508,97,17,-0.1628814432989691,0.640714204810288,82.75,2385,26510
83,23686,124,10,0.3482717741935484,0.3560720144452393,96.18,2356,25612
84,837563,112,19,-0.3147571428571428,0.4532764683418367,98.72,2506,9260
85,1770734,229,24,-0.2153659388646288,0.3462863604118914,97.7,3014,17628
86,118749,161,36,0.122291304347826,0.5249707125951931,96.69,5089,27810
87,1959490,57,9,-0.1003157894736842,0.5934414476454293,98.31,3557,14362
88,81283,165,18,0.1733224242424242,0.3471945429516989,98.01,3114,23846
89,104627,121,17,-0.1363090909090909,0.4060709514049586,97.09,2874,22400
90,4595882,108,17,0.3443685185185185,0.4415901603052126,89.14,2782,25788
91,181865,197,33,0.0965142131979695,0.4557828364477312,87.72,3137,27308
92,113101,29,5,0.378148275862069,0.4505223997384067,96.18,2620,23204
93,82846,118,16,0.3083974576271187,0.4025019387223499,97.6,3233,24622
94,98987,90,19,0.1704744444444444,0.5066747272358023,88.53,2317,17570
95,106303,222,34,-0.2132135135135135,0.3153690213489165,88.13,2560,14738
96,804497,93,16,0.4352365591397849,0.426672442534397,97.7,2407,21254
97,1013753,157,27,0.0116089171974522,0.5060389665446874,88.02,2486,24118
98,119349,141,18,0.2736921985815603,0.3667376811448116,86.81,2032,17564
99,31381,40,7,0.1337624999999999,0.8225480528437501,86.3,8359,104498
100,94715,109,26,0.2554339449541284,0.4944642288477401,95.47,2326,22152
101,1243957,98,17,0.2988755102040816,0.3767741561349438,89.14,2172,10754
102,432373,92,13,0.4476326086956521,0.3915006024149338,98.31,2552,15684
103,117509,127,21,0.0397448818897637,0.4507852355446711,95.47,2257,16248
104,3397884,73,12,-0.0568657534246575,0.5269328238956652,97.6,2644,15098
105,758746,136,30,-0.0623463235294117,0.3940178921923659,89.55,1909,7292
106,103976,160,20,0.409195625,0.3822177451683594,96.79,3084,19498
107,2542334,71,12,-0.155525352112676,0.4342165213291014,89.55,2353,12628
108,86203,591,50,-0.0790463620981387,0.2325195670214526,96.99,1038,18920
109,5016504,167,26,-0.3341341317365269,0.3610195342242461,95.17,2592,21028
110,2042568,21,2,0.4665,0.4349168942857143,98.11,2375,15968
111,1028576,125,17,0.4285351999999999,0.35531336596096,96.89,2317,21550
112,810819,135,16,0.2737785185185185,0.4481218852422496,98.62,1987,12444
113,369610,103,17,-0.0422631067961165,0.4929402864058817,86.2,1399,13862
114,5610554,70,10,0.5378442857142857,0.3461562630387756,97.8,2315,16412
115,172495,83,16,0.0438168674698795,0.6317920445347656,88.23,2431,17704
116,327597,85,15,0.1495188235294117,0.573371838469204,97.8,2329,11402
117,7074886,116,22,0.1915189655172413,0.4280384332609989,89.14,2859,25090
118,3908142,70,12,-0.1267028571428571,0.5802033788489798,97.2,2324,12070
119,104265,103,17,-0.2268291262135922,0.5018425558506929,88.94,2479,19224
120,6924650,135,18,0.1441977777777777,0.592580440217284,88.13,3360,20386
121,9130508,67,15,0.3463716417910448,0.4793236085987969,89.14,2579,26896
122,73440,123,20,0.1461138211382114,0.3977564611910899,97.5,2167,15008
123,824758,126,17,0.2957785714285714,0.3748197285090702,89.75,2550,16930
124,337636,44,8,-0.2655636363636363,0.5344135214049586,97.3,2168,11594
125,1675192,87,10,0.4633632183908046,0.3133243558884925,97.5,2655,10910
126,101272,67,12,-0.0978582089552238,0.463378866910225,90.26,861,4732
127,265208,83,11,-0.5976530120481928,0.2942342032138191,88.23,2116,12276
128,1341188,127,16,0.3677338582677166,0.3988220584599168,88.63,2634,29334
129,1907668,120,18,0.1085958333333333,0.5020164717326389,88.74,3395,26530
130,160127,132,18,0.1259484848484848,0.4310901512855831,88.94,2435,13104
131,1181917,100,20,0.3380599999999999,0.412186034,96.28,1959,22492
132,40072,32,5,0.468890625,0.3270697039746094,96.69,549,3868
133,139654,82,12,-0.1420817073170731,0.58281186588489,98.82,3445,18296
134,386117,61,8,0.1978737704918032,0.4534705652136522,98.01,2229,14330
135,90060,145,22,0.1253413793103448,0.4335776682187871,88.63,2268,20278
136,106582,91,17,-0.2177043956043956,0.48418151140925,94.76,1953,15422
137,1655420,169,33,0.2864147928994083,0.4831810276509926,89.24,3276,20226
138,118689,166,37,0.1015795180722891,0.4835222153636231,88.63,3060,15390
139,71853,73,11,0.1629301369863013,0.4116643473109401,96.99,2380,23088
140,402850,158,30,0.0613544303797468,0.4024140321006249,97.4,2510,19262
141,175142,72,11,-0.3650194444444444,0.5240658023996914,97.8,2186,14026
142,315733,171,33,-0.0606959064327485,0.4043486884627749,97.09,2957,18770
143,96152,121,24,0.2182231404958677,0.5525926290512942,97.6,3490,21962
144,454921,191,28,0.2418821989528795,0.3229810972747458,98.01,2897,16276
145,4364194,1,0,0.0,0.0,206.84,0,0
146,431197,151,26,-0.0812635761589403,0.5145579186070786,87.82,2798,20362
147,1097649,128,24,0.25469375,0.5007516483984374,88.63,2711,18458
148,122933,104,19,-0.1369115384615384,0.4495821546745562,97.09,2760,26578
149,7668870,152,24,0.1077157894736842,0.3318910915927978,87.92,2157,17684
150,7008872,145,20,0.1911875862068965,0.456069092949346,96.79,3129,21856
151,1220198,93,10,-0.0394376344086021,0.427929039766447,88.13,1612,17816
152,114345,144,22,-0.1001486111111111,0.5032296395814043,85.89,1628,7018
153,67217,11,3,-0.2181272727272727,0.7838876310743802,87.21,2560,25576
154,115645,87,18,0.2972413793103449,0.4647231548394768,97.8,2077,17932
155,253474,152,23,-0.1635967105263158,0.4424225692654951,89.24,2421,12348
156,91474,125,27,-0.1117656,0.43554553329664,97.6,3170,22214
157,427944,123,20,0.1314081300813008,0.399937264161544,87.92,2272,23844
158,88247,256,39,-0.335996875,0.2677078875683594,90.05,2868,12114
159,99739,150,26,-0.1248246666666666,0.4252980126582221,88.43,2156,11404
160,1405500,120,24,-0.0329958333333333,0.4531694563993056,96.38,2087,21714
161,1446192,90,11,0.34922,0.4914750591555555,98.41,2877,14048
162,106677,88,17,0.2923318181818182,0.5583618360330579,96.28,2349,22170
163,67525,209,31,-0.3124062200956938,0.3804236256550903,96.48,2368,21750
164,76095,84,11,0.341602380952381,0.4440122271371883,97.2,2697,29698
165,371246,187,26,0.2953315508021391,0.3576862527478623,88.63,2299,25860
166,144214,91,13,-0.3474956043956043,0.4280582722883709,89.45,2817,17510
167,110357,44,6,0.2681568181818182,0.5872625424535124,90.05,2325,13304
168,280707,114,23,0.3802026315789473,0.5247469913088643,97.6,3502,32914
169,44079,75,11,0.2176373333333333,0.5067670978062221,88.33,2721,18346
170,70735,98,22,0.1326204081632653,0.4741569650937109,95.77,2420,23462
171,1412386,206,30,0.3217116504854369,0.3104078888933924,88.53,2937,24866
172,97523,65,13,0.1933338461538461,0.6369422994698225,98.11,2880,13022
173,94074,129,17,0.058929457364341,0.3793457406826512,87.62,3585,36354
174,120082,71,13,-0.3596901408450704,0.5019623377901209,90.05,2830,13376
175,113198,37,7,0.0145918918918918,0.7780921110153397,97.8,1760,12062
176,330793,230,26,-0.2242752173913043,0.2799809337771266,89.14,2828,15850
177,5943392,85,15,0.2085282352941176,0.4858981639086505,98.01,2228,15414
178,364800,177,26,0.1130514124293785,0.3902007992211689,97.09,2513,21952
179,158983,86,17,-0.156310465116279,0.6066512127974579,96.89,3055,25444
180,140397,96,18,0.2219989583333333,0.4249026426030816,88.23,2522,26040
181,167404,72,16,-0.0493208333333333,0.6149044913715278,97.91,2981,13142
182,133952,195,25,-0.224876923076923,0.3522802059802761,88.13,2554,22810
